 Province ,Suiside
Krabi ,0.0810375
Bangkok,0.027388334
Kanchanaburi ,0.051483917
Kalasin ,0.070294348
Kamphaeng Phet ,0.074118146
Khon Kaen ,0.058854982
Chanthaburi ,0.10926594
Chachoengsao ,0.053979726
Chonburi ,0.06368461
Chainat ,0.075579612
Chaiyaphum ,0.043260752
Chumphon ,0.099110975
Chiang Mai ,0.1140201
Chiang Rai ,0.111772154
Trang ,0.06082801
Trat ,0.118584466
Tak ,0.099579699
Nakhon Nayok ,0.046508203
Nakhon Pathom ,0.049995
Nakhon Phanom ,0.047497112
Nakhon Ratchasima ,0.069159604
Nakhon Si Thammarat ,0.069526569
Nakhon Sawan ,0.07236468
Nonthaburi ,0.03134411
Narathiwat ,0.012630521
Nan ,0.121315309
Bueng Kan ,0.073504829
Buriram ,0.0623315
Pathum Thani ,0.007103817
Prachuap Khiri Khan ,0.032359172
Prachinburi ,0.075422744
Pattani ,0.057673334
Phra Nakhon Si Ayutthaya ,0.055539648
Phayao ,0.107144883
Phang Nga ,0.04564126
Phatthalung ,0.082066237
Phichit ,0.062717899
Phitsanulok ,0.0601707
Phetchaburi ,0.046054876
Phetchabun ,0.066439029
Phrae ,0.118261335
Phuket ,0.025757197
Maha Sarakham ,0.052973254
Mukdahan ,0.083284511
Mae Hong Son ,0.14552801
Yasothon ,0.044493387
Yala ,0.011463464
Roi Et ,0.042846442
Ranong ,0.045382861
Rayong ,0.058565656
Ratchaburi ,0.041355076
Lopburi ,0.115417496
Lampang ,0.089194131
Lamphun ,0.095217188
Loei ,0.081661882
Sisaket ,0.066660454
Sakon Nakhon ,0.05406202
Songkhla ,0.040364956
Satun ,0.0345713
Samut Prakan ,0.025657971
Samut Songkhram ,0.057165723
Samut Sakhon ,0.039383
Sa Kaeo ,0.073559226
Saraburi ,0.063005322
Sing Buri ,0.061886196
Sukhothai ,0.051740829
Suphan Buri ,0.063669034
Surat Thani ,0.058054112
Surin ,0.076286015
Nong Khai ,0.038703735
Nong Bua Lamphu ,0.048946572
Ang Thong ,0.063687676
Amnat Charoen ,0.060405355
Udon Thani ,0.060945687
Uttaradit ,0.072268576
Uthai Thani ,0.094034568
Ubon Ratchathani ,0.061330253
